Item;Código;Denominación;Grupo;Clase;Resolución;Estado
607;39649974;URNA DE MADERA;39 CULTURA Y ARTE;64 MOBILIARIO;0130-2000/SBN;ACTIVO
608;39649986;VINAJERA (MAYOR A 1/4 UIT);39 CULTURA Y ARTE;64 MOBILIARIO;0004-2002/SBN;ACTIVO
609;46220001;CAJA DE DISTRIBUCION ELECTRICA MOVIL;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;003-2018/SBN-DNR;ACTIVO
610;46220002;PLANTA DE CONTROL DE VACIO;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;003-2018/SBN-DNR;ACTIVO
611;46220003;CAÃON DE SEGUIMIENTO DE LUZ;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;003-2018/SBN-DNR;ACTIVO
612;46220025;ACTIVADOR/DESACTIVADOR DE ETIQUETAS ELECTROMAGNETICAS;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0009-2008/SBN-GO;ACTIVO
613;46220050;ACUMULADOR DE ENERGIA - EQUIPO DE UPS;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0158-97/SBN;ACTIVO
614;46220265;ALARMA DE LUZ;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0040-98/SBN;ACTIVO
615;46220480;ALTERNADOR;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0158-97/SBN;ACTIVO
616;46220695;ANALIZADOR DE CALIDAD DE LA ENERGIA ELECTRICA;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0003-2005/SBN-GO;ACTIVO
617;46220696;ANALIZADOR DESCARGADOR DE BATERIAS;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;011-2019/SBN;ACTIVO
618;46220749;ANALIZADOR DE ELECTROBISTURI;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0009-2008/SBN-GO;ACTIVO
619;46220803;ANALIZADOR DE SEGURIDAD ELECTRICA;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0009-2008/SBN-GO;ACTIVO
620;46220857;ANALIZADOR SIMULADOR PARA PULSIOXIMETRO;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0009-2008/SBN-GO;ACTIVO
621;46220911;AUTOTRANSFORMADOR;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0158-97/SBN;ACTIVO
622;46221018;BANCO DE BATERIAS;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0022-2011/SBN-DGPE;ACTIVO
623;46221072;BANCO DE CONDENSADORES;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0001-2015/SBN-DNR;ACTIVO
624;46221126;BORRADOR DE EPROM;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0025-2009/SBN-GO;ACTIVO
625;46221179;CAJA PATRON DE CAPACITANCIAS;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0022-2011/SBN-DGPE;ACTIVO
626;46221232;CAJA PATRON DE INDUCTANCIAS;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0022-2011/SBN-DGPE;ACTIVO
627;46221285;CAJA PATRON DE RESISTENCIAS;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0022-2011/SBN-DGPE;ACTIVO
628;46221341;CARGADOR DE BATERIA EN GENERAL;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0158-97/SBN;ACTIVO
629;46221772;CAUTIL ELECTRICO;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0158-97/SBN;ACTIVO
630;46222202;COLECTOR AUTOMATICO DE FRACCIONES;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0158-97/SBN;ACTIVO
631;46222633;COLECTOR DE AIRE;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0158-97/SBN;ACTIVO
632;46222955;CONTROLADOR DE ILUMINACION - DIMMER PACK;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0001-2015/SBN-DNR;ACTIVO
633;46223063;COLUMNA DE VIDRIO PARA INTERCAMBIO DE IONES;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0025-2009/SBN-GO;EXCLUIDO
634;46223278;CONTROLADOR LOGICO PROGRAMABLE - PLC;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0013-2003/SBN-GO;ACTIVO
635;46223493;CONVERTIDOR DE CORRIENTE;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0158-97/SBN;ACTIVO
636;46223924;CONVERTIDOR DE VOLTAJE;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0158-97/SBN;ACTIVO
637;46224031;DETECTOR DE TENSION;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0022-2011/SBN-DGPE;ACTIVO
638;46224139;DIVISOR DE CUADROS PARA MONITOR - CONTROL QUAD DIVISOR;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0090-1999/SBN;ACTIVO
639;46224192;ENTRENADOR DE ANTENAS;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0002-2012/SBN-DNR;ACTIVO
640;46224246;EQUIPO COMPUTARIZADO SIMULADOR DE CONTROL DE PROCESOS;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0009-2008/SBN-GO;ACTIVO
641;46224354;EQUIPO DE ALARMA Y PROTECCION;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0158-97/SBN;ACTIVO
642;46224785;EQUIPO DE ILUMINACION DE EMERGENCIA;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0158-97/SBN;ACTIVO
643;46224838;EQUIPO DE LUCES PORTATIL;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0025-2009/SBN-GO;ACTIVO
644;46224892;EQUIPO PARA DETERMINAR LA TENSION DE PASO Y CONTACTO;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0003-2005/SBN-GO;ACTIVO
645;46225000;EQUIPO SECUENCIADOR DE CUATRO POSICIONES;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0090-1999/SBN;ACTIVO
646;46225215;ESTABILIZADOR;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0158-97/SBN;ACTIVO
647;46225217;ENCAPSULADORA SEMIAUTOMATICA;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;011-2019/SBN;ACTIVO
648;46225646;FUENTE DE ALIMENTACION;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0158-97/SBN;ACTIVO
649;46226076;FUENTE DE PODER;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0158-97/SBN;ACTIVO
650;46226129;FUENTE DE VOLTAJE ANALOGICO;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0006-2006/SBN-GO;ACTIVO
651;46226183;GENERADOR (OTROS);46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0090-1999/SBN;ACTIVO
652;46226291;GENERADOR DE VAN DE GRAFF;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0090-1999/SBN;ACTIVO
653;46226507;GRUPO ELECTROGENO;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0158-97/SBN;ACTIVO
654;46226722;INDICADOR DE FASES;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0040-98/SBN;ACTIVO
655;46226829;LAMPARA DE ESPECTRO COMPLETO;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0001-2016/SBN-DNR;ACTIVO
656;46226937;LAMPARA ELECTRICA (MAYOR A 1/4 UIT);46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0158-97/SBN;ACTIVO
657;46227152;LUPA (MAYOR A 1/4 UIT);46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0004-2002/SBN;ACTIVO
658;46227165;MEDIDOR DE CAMPO ELECTROMAGNETICO TRIAXIAL;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0004-2010/SBN-GO;ACTIVO
659;46227178;MEDIDOR DE RADIACION DE ALTA FRECUENCIA;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0004-2010/SBN-GO;ACTIVO
660;46227191;MEDIDOR LCR DE COMPONENTES PASIVOS;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0004-2010/SBN-GO;ACTIVO
661;46227205;MODULADOR DE AMPLITUD DE FRECUENCIA;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0003-2005/SBN-GO;ACTIVO
662;46227258;MODULO DE FUNDAMENTOS DE ELECTRONICA;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0003-2005/SBN-GO;ACTIVO
663;46227311;MODULO DE FUNDAMENTOS DE MECATRONICA;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0003-2005/SBN-GO;ACTIVO
664;46227367;MODULO FUENTE DE ALTA TENSION;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0158-97/SBN;ACTIVO
665;46227424;PLANTA DE CONTROL DE CAUDAL;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0022-2011/SBN-DGPE;ACTIVO
666;46227481;PLANTA DE CONTROL DE NIVEL;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0022-2011/SBN-DGPE;ACTIVO
667;46227538;PLANTA DE CONTROL DE PRESION;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0022-2011/SBN-DGPE;ACTIVO
668;46227595;PLANTA DE CONTROL DE TEMPERATURA;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0022-2011/SBN-DGPE;ACTIVO
669;46227654;PROBADOR DE CIRCUITO INTEGRADO ANALOGO;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0025-2009/SBN-GO;ACTIVO
670;46227798;MOTOR DE GRUPO ELECTROGENO;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0040-98/SBN;EXCLUIDO
671;46227941;PROGRAMADOR DE CIRCUITOS INTEGRADOS EPROM;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0025-2009/SBN-GO;ACTIVO
672;46228084;PROYECTOR DE LUZ LED;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0001-2015/SBN-DNR;ACTIVO
673;46228228;REFLECTOR;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0158-97/SBN;ACTIVO
674;46228443;REGISTRADOR DE CALIDAD DE TENSION;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0003-2005/SBN-GO;ACTIVO
675;46228659;REGULADOR DE VOLTAJE;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0158-97/SBN;ACTIVO
676;46228766;RIEL ELECTRIFICADO;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0130-2000/SBN;ACTIVO
677;46228793;SIMULADOR DE ELECTROCARDIOGRAMA;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0006-2006/SBN-GO;ACTIVO
678;46228806;SIMULADOR MULTIPARAMETRO DE PACIENTE;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0009-2008/SBN-GO;ACTIVO
679;46228820;SISTEMA COMPACTO DE CONTROL DE PROCESOS;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0013-2003/SBN-GO;ACTIVO
680;46228838;SISTEMA DE MONITOREO Y CONTROL REMOTO DE AMBIENTE;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0006-2006/SBN-GO;ACTIVO
681;46228856;SISTEMA DE SEGURIDAD DE CO2/LN2 - CO2/LN2 BACKUP SYSTEM;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0006-2006/SBN-GO;ACTIVO
682;46228874;SISTEMA DE VALISAJE;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0090-1999/SBN;ACTIVO
683;46228927;SUBESTACION ELECTRICA;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0016-2007/SBN-GO;ACTIVO
684;46228981;SUPRESOR DE VOLTAJE TRANSITORIO - TVSS;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0006-2006/SBN-GO;ACTIVO
685;46229089;TABLERO DE CONTROL;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0158-97/SBN;ACTIVO
686;46229304;TABLERO DE TRANSFERENCIA AUTOMATICA;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0090-1999/SBN;ACTIVO
687;46229412;TABLERO MAESTRO UNIVERSAL DE NEUMATICA;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0013-2003/SBN-GO;ACTIVO
688;46229466;TAQUIMETRO ESTROBOSCOPIO DIGITAL;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0004-2010/SBN-GO;ACTIVO
689;46229484;TORRE MARINA MODULAR DE ENFILACION;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0002-2012/SBN-DNR;ACTIVO
690;46229502;TORRE MARINA MODULAR FAROLETE;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0002-2012/SBN-DNR;ACTIVO
691;46229520;TORRE METALICA;46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0158-97/SBN;ACTIVO
692;46229950;TRANSFORMADOR (MAYOR A 1/4 UIT);46 ELECTRICIDAD Y ELECTRONICA;22 EQUIPO;0158-97/SBN;ACTIVO
693;53220001;EQUIPO DE ASISTENCIA MECANICA DE TOS;53 HOSPITALIZACION;22 EQUIPO;003-2018/SBN-DNR;ACTIVO
694;53220002;ESTETOSCOPIO ELECTRONICO;53 HOSPITALIZACION;22 EQUIPO;003-2018/SBN-DNR;ACTIVO
695;53220003;SIMULADOR DE DESFIBRILACION;53 HOSPITALIZACION;22 EQUIPO;003-2018/SBN-DNR;ACTIVO
696;53220004;MONITOR DE INTEGRIDAD NERVIOSA DE ELECTROMIOGRAFIA;53 HOSPITALIZACION;22 EQUIPO;003-2018/SBN-DNR;ACTIVO
697;53220005;SISTEMA DE ELECTROPORACION;53 HOSPITALIZACION;22 EQUIPO;003-2018/SBN-DNR;ACTIVO
698;53220006;CALENTADOR DE MANTAS Y FLUIDOS;53 HOSPITALIZACION;22 EQUIPO;003-2018/SBN-DNR;ACTIVO
699;53220007;ARMARIO DE ALMACENAMIENTO VENTILADO;53 HOSPITALIZACION;22 EQUIPO;003-2018/SBN-DNR;ACTIVO
700;53220008;BRAZO MEDICO DE SERVICIO DE TECHO;53 HOSPITALIZACION;22 EQUIPO;011-2019/SBN;ACTIVO
701;53220009;ELASTOGRAFO ULTRASONICO VIBRACIONAL PORTATIL;53 HOSPITALIZACION;22 EQUIPO;011-2019/SBN;ACTIVO
702;53220010;ACELERADOR LINEAL;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
703;53220011;SISTEMA DE ELECTROFORESIS Y FOTODOCUMENTACION;53 HOSPITALIZACION;22 EQUIPO;PENDIENTE;ACTIVO
704;53220019;ADAPTADOR RADIOLOGICO PEDIATRICO;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
705;53220028;ADAPTOMETRO;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
706;53220037;ADMITANCIMETRO;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
707;53220050;AFILADOR AUTOMATICO DE CUCHILLAS;53 HOSPITALIZACION;22 EQUIPO;0158-97/SBN;ACTIVO
708;53220145;AGITADOR DE PIPETA;53 HOSPITALIZACION;22 EQUIPO;0158-97/SBN;ACTIVO
709;53220160;AGITADOR (OTROS);53 HOSPITALIZACION;22 EQUIPO;0040-98/SBN;ACTIVO
710;53220164;AGITADOR CON ROLLOS;53 HOSPITALIZACION;22 EQUIPO;0130-2000/SBN;ACTIVO
711;53220166;AGITADOR DE BALANCEO;53 HOSPITALIZACION;22 EQUIPO;0015-2004/SBN-GO;ACTIVO
712;53220168;AGITADOR DE BOLSAS DE SANGRE;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
713;53220176;AGITADOR DE PLACAS;53 HOSPITALIZACION;22 EQUIPO;0040-98/SBN;ACTIVO
714;53220182;AGITADOR DE PRECISION;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
715;53220188;AGITADOR DE TUBOS;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
716;53220189;AGITADOR DE VAIVEN;53 HOSPITALIZACION;22 EQUIPO;0015-2004/SBN-GO;ACTIVO
717;53220190;AGITADOR DE VARILLA;53 HOSPITALIZACION;22 EQUIPO;0015-2004/SBN-GO;ACTIVO
718;53220191;AGITADOR ORBITAL - AGITADOR DE ROTACION CIRCULAR;53 HOSPITALIZACION;22 EQUIPO;0015-2004/SBN-GO;ACTIVO
719;53220192;AGITADOR ORBITAL Y VAIVEN;53 HOSPITALIZACION;22 EQUIPO;0015-2004/SBN-GO;ACTIVO
720;53220194;AGLUTINADOR;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
721;53220200;AGLUTINOSCOPIO;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
722;53220203;ALINEADOR DE PROTESIS ORTOPEDICAS;53 HOSPITALIZACION;22 EQUIPO;0089-2001/SBN;ACTIVO
723;53220207;AMALGAMADOR;53 HOSPITALIZACION;22 EQUIPO;0040-98/SBN;ACTIVO
724;53220218;AMNIOSCOPIO;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
725;53220229;AMPOLLETADOR;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
726;53220234;ANALGESIMETRO;53 HOSPITALIZACION;22 EQUIPO;0009-2008/SBN-GO;ACTIVO
727;53220240;ANALIZADOR BIOQUIMICO;53 HOSPITALIZACION;22 EQUIPO;0158-97/SBN;ACTIVO
728;53220259;ANALIZADOR CARDIOLOGICO COMPUTARIZADO;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
729;53220278;ANALIZADOR DE CALIDAD PARA RAYOS X;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
730;53220297;ANALIZADOR DE DIOXIDO DE CARBONO (CO2);53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
731;53220316;ANALIZADOR DE DOSIMETRO DE TERMOLUMINISCENCIA;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
732;53220336;ANALIZADOR DE ELECTROLITOS;53 HOSPITALIZACION;22 EQUIPO;0158-97/SBN;ACTIVO
733;53220383;ANALIZADOR DE FLUJO DE GAS;53 HOSPITALIZACION;22 EQUIPO;0001-2016/SBN-DNR;ACTIVO
734;53220431;ANALIZADOR DE GASES EN SANGRE;53 HOSPITALIZACION;22 EQUIPO;0158-97/SBN;ACTIVO
735;53220442;ANALIZADOR DE GASES Y ELECTROLITOS;53 HOSPITALIZACION;22 EQUIPO;0130-2000/SBN;ACTIVO
736;53220454;ANALIZADOR DE IMAGENES MICROSCOPICAS;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
737;53220465;ANALIZADOR DE INCUBADORAS;53 HOSPITALIZACION;22 EQUIPO;0001-2015/SBN-DNR;ACTIVO
738;53220477;ANALIZADOR DE MARCAPASOS;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
739;53220488;ANALIZADOR DE NERVIO OPTICO;53 HOSPITALIZACION;22 EQUIPO;0130-2000/SBN;ACTIVO
740;53220494;ANALIZADOR DE PLOMO EN SANGRE PORTATIL;53 HOSPITALIZACION;22 EQUIPO;0002-2012/SBN-DNR;ACTIVO
741;53220500;ANALIZADOR DE TERMODILUCION;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
742;53220526;ANALIZADOR HEMATOLOGICO;53 HOSPITALIZACION;22 EQUIPO;0158-97/SBN;ACTIVO
743;53220533;ANALIZADOR MICROBIOLOGICO DE AIRE;53 HOSPITALIZACION;22 EQUIPO;0004-2010/SBN-GO;ACTIVO
744;53220537;ANALIZADOR MULTICANAL DE DISPOSITIVOS DE INFUSION;53 HOSPITALIZACION;22 EQUIPO;0001-2015/SBN-DNR;ACTIVO
745;53220541;ANALIZADOR MULTIPLE;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
746;53220548;ANALIZADOR NEUROSENSORIAL;53 HOSPITALIZACION;22 EQUIPO;0001-2015/SBN-DNR;ACTIVO
747;53220556;ANALIZADOR POR INFRARROJOS;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
748;53220571;ANALIZADOR TRANSCUTANEO;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
749;53220586;ANGIOGRAFO;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
750;53220601;ANOSCOPIO;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
751;53220611;APARATO AUTOMATA TIPO ELISA PARA SEROLOGIA;53 HOSPITALIZACION;22 EQUIPO;0013-2003/SBN-GO;ACTIVO
752;53220621;APARATO BIDESTILADOR DE AGUA;53 HOSPITALIZACION;22 EQUIPO;0158-97/SBN;ACTIVO
753;53220628;APARATO CLAVIJET;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
754;53220636;APARATO DE DIGESTION;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
755;53220641;APARATO DE ELECTRONARCOSIS;53 HOSPITALIZACION;22 EQUIPO;0130-2000/SBN;ACTIVO
756;53220646;APARATO DE INGENHOUIS;53 HOSPITALIZACION;22 EQUIPO;0130-2000/SBN;ACTIVO
757;53220652;APARATO DE LUZ HALOGENA;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
758;53220683;APARATO DE ORGANO AISLADO;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
759;53220691;APARATO PARA CIRUGIA DE OIDO;53 HOSPITALIZACION;22 EQUIPO;0130-2000/SBN;ACTIVO
760;53220695;APARATO PARA EMULSION;53 HOSPITALIZACION;22 EQUIPO;0089-2001/SBN;ACTIVO
761;53220697;APARATO TERAPEUTICO DE ONDA CORTA;53 HOSPITALIZACION;22 EQUIPO;0004-2002/SBN;ACTIVO
762;53220698;ARCO MOVIL DE RADIOSCOPIA;53 HOSPITALIZACION;22 EQUIPO;0013-2003/SBN-GO;ACTIVO
763;53220699;ARTICULADOR AJUSTABLE PARA PROTESIS DENTAL;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
764;53220702;ARTROSCOPIO;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
765;53220703;ASPIRADOR DE CATARATA;53 HOSPITALIZACION;22 EQUIPO;0130-2000/SBN;ACTIVO
766;53220704;ASPIRADOR DE OVOCITOS;53 HOSPITALIZACION;22 EQUIPO;0016-2007/SBN-GO;ACTIVO
767;53220705;ASPIRADOR GASTRICO;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
768;53220706;ASPIRADOR OTORRINO;53 HOSPITALIZACION;22 EQUIPO;0013-2003/SBN-GO;ACTIVO
769;53220708;ASPIRADOR PLEURAL;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
770;53220711;ASPIRADOR ULTRASONICO;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
771;53220716;ASPIRADORA DE GASES;53 HOSPITALIZACION;22 EQUIPO;0158-97/SBN;ACTIVO
772;53220764;ASPIRADOR DE MICROPIPETAS;53 HOSPITALIZACION;22 EQUIPO;0022-2011/SBN-DGPE;EXCLUIDO
773;53220812;ASPIRADORA DE SECRECIONES;53 HOSPITALIZACION;22 EQUIPO;0158-97/SBN;ACTIVO
774;53220907;ASPIRADORA DE SUCCION;53 HOSPITALIZACION;22 EQUIPO;0158-97/SBN;ACTIVO
775;53220913;ASPIRADORA PARA LECHE MATERNA;53 HOSPITALIZACION;22 EQUIPO;0130-2000/SBN;ACTIVO
776;53220920;ATOMIZADOR;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
777;53220926;AUTOANALIZADOR (OTROS);53 HOSPITALIZACION;22 EQUIPO;0130-2000/SBN;ACTIVO
778;53220927;AUTOQUERATOREFRACTOMETRO;53 HOSPITALIZACION;22 EQUIPO;0025-2009/SBN-GO;ACTIVO
779;53220929;AUTOREFRACTOMETRO;53 HOSPITALIZACION;22 EQUIPO;0003-2005/SBN-GO;ACTIVO
780;53220933;AUTOTECHNICON DE METAL;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
781;53220939;BAÃO DE ORGANOS AISLADOS;53 HOSPITALIZACION;22 EQUIPO;0009-2008/SBN-GO;ACTIVO
782;53220946;BAÃO DE PARAFINA;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
783;53220952;AUXILIAR DE PIPETEADO;53 HOSPITALIZACION;22 EQUIPO;0025-2009/SBN-GO;ACTIVO
784;53220959;BAÃO POR OZONO;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
785;53220962;BALANCEADOR DE CARGA ELECTROSTATICA CORPORAL;53 HOSPITALIZACION;22 EQUIPO;0002-2012/SBN-DNR;ACTIVO
786;53220963;BIOFOTOMETRO;53 HOSPITALIZACION;22 EQUIPO;0006-2006/SBN-GO;ACTIVO
787;53220968;BIOMETRO;53 HOSPITALIZACION;22 EQUIPO;0003-2005/SBN-GO;ACTIVO
788;53220972;BALON INTRA AORTICO;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
789;53220978;BOMBA ADHESIVA PLAQUETARIA;53 HOSPITALIZACION;22 EQUIPO;0130-2000/SBN;ACTIVO
790;53220985;BOMBA DE COBALTO;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
791;53220987;BOMBA DE CONTRAPULSACION AORTICA;53 HOSPITALIZACION;22 EQUIPO;0130-2000/SBN;ACTIVO
792;53220989;BOMBA DE DRENAJE TERMOSTATICA;53 HOSPITALIZACION;22 EQUIPO;0130-2000/SBN;ACTIVO
793;53220993;BOMBA DE IMPULSION;53 HOSPITALIZACION;22 EQUIPO;0130-2000/SBN;ACTIVO
794;53221002;BOMBA DE INFUSION;53 HOSPITALIZACION;22 EQUIPO;0158-97/SBN;ACTIVO
795;53221012;BOMBA DE INSULINA;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
796;53221022;BOMBA DE SANGRE;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
797;53221027;BOMBA DE SILICONA PARA VITRECTOMIA OFTALMICA;53 HOSPITALIZACION;22 EQUIPO;0130-2000/SBN;ACTIVO
798;53221032;BOMBA HIDRONEUMATICA;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
799;53221042;BOMBA INYECTOR DE CONTRASTE;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
800;53221047;BOMBA PARA ALIMENTACION ENTERAL;53 HOSPITALIZACION;22 EQUIPO;0130-2000/SBN;ACTIVO
801;53221052;BOMBA VOLUMETRICA;53 HOSPITALIZACION;22 EQUIPO;0090-1999/SBN;ACTIVO
802;53221057;BRAZO MURAL PARA ELECTROBISTURI;53 HOSPITALIZACION;22 EQUIPO;0130-2000/SBN;ACTIVO
